gene,row
HMGCS2,846
HMMR,847
HNF1A,848
HNRNPA2B1,849
HOOK3,850
HOXA11,851
HOXA13,852
HOXA9,853
HOXC11,854
HOXC13,855
HOXD11,856
HOXD13,857
HRAS,858
HRH1,859
HRH4,860
HSP90AA1,861
HSP90B1,862
HSPA1A,863
HSPA1B,864
HSPA1L,865
HSPA2,866
HSPA6,867
HSPA8,868
HSPB1,869
IBSP,870
ICAM1,871
ICAM2,872
ICOS,873
ID2,874
ID4,875
IDH1,876
IDH2,877
IDO1,878
IFITM1,879
IFNA1,880
IFNA10,881
IFNA13,882
IFNA14,883
IFNA16,884
IFNA17,885
IFNA2,886
IFNA21,887
IFNA4,888
IFNA5,889
IFNA6,890
IFNA7,891
IFNA8,892
IFNAR2,893
IFNB1,894
IFNE,895
IFNG,896
IFNGR2,897
IFNK,898
IFNL1,899
IFNL2,900
IFNL3,901
IFNLR1,902
IFNW1,903
IGF1,904
IGF1R,905
IGFBP3,906
IGFBP4,907
IKBKB,908
IKBKG,909
IKZF1,910
IL10,911
IL10RA,912
IL10RB,913
IL11,914
IL11RA,915
IL12A,916
IL12B,917
IL12RB1,918
IL12RB2,919
IL13,920
IL13RA1,921
IL13RA2,922
IL15,923
IL15RA,924
IL17A,925
IL17B,926
IL17D,927
IL17F,928
IL17RA,929
IL17RB,930
IL18,931
IL18R1,932
IL18RAP,933
IL19,934
IL1A,935
IL1B,936
IL1R1,937
IL1R2,938
IL1RAP,939
IL1RN,940
IL20,941
IL20RA,942
IL20RB,943
IL21,944
IL21R,945
IL22,946
IL22RA1,947
IL22RA2,948
IL23A,949
IL23R,950
IL24,951
IL25,952
IL26,953
IL27,954
IL2RA,955
IL2RB,956
IL2RG,957
IL3,958
IL36A,959
IL3RA,960
IL4,961
IL4R,962
IL5,963
IL5RA,964
IL6,965
IL6R,966
IL6ST,967
IL7,968
IL7R,969
IL9,970
IL9R,971
ILK,972
INHBA,973
INHBB,974
INHBC,975
INHBE,976
INPP4A,977
INPP5D,978
INPPL1,979
INS,980
INSR,981
IQGAP1,982
IRAK1,983
IRAK2,984
IRAK3,985
IRAK4,986
IREB2,987
IRF2,988
IRF4,989
IRF6,990
IRF7,991
IRF9,992
IRGM,993
IRS2,994
ITCH,995
ITGA1,996
ITGA10,997
ITGA11,998
ITGA2,999
ITGA2B,1000
ITGA3,1001
ITGA4,1002
ITGA5,1003
ITGA6,1004
ITGA7,1005
ITGA8,1006
ITGA9,1007
ITGAL,1008
ITGAV,1009
ITGB1,1010
ITGB2,1011
ITGB3,1012
ITGB4,1013
ITGB5,1014
ITGB6,1015
ITGB7,1016
ITGB8,1017
ITIH4,1018
ITK,1019
ITSN1,1020
JAK2,1021
JAZF1,1022
JMJD7-PLA2G4B,1023
JMY,1024
JUND,1025
JUP,1026
KALRN,1027
KAT6A,1028
KAT6B,1029
KDM5A,1030
KDM5C,1031
KDM6A,1032
KDM6B,1033
KIAA1549,1034
KIAA1598,1035
KIF5B,1036
KIR2DL1,1037
KIR2DL2,1038
KIR2DL3,1039
KIR2DL4,1040
KIR2DS1,1041
KIR2DS3,1042
KIR2DS4,1043
KIR2DS5,1044
KIR3DL1,1045
KIR3DL2,1046
KITLG,1047
KL,1048
KLF6,1049
KLK2,1050
KLK3,1051
KLKB1,1052
KLRC1,1053
KLRC2,1054
KLRC3,1055
KLRD1,1056
KLRG1,1057
KLRK1,1058
KMT2C,1059
KMT2D,1060
KNG1,1061
KRAS,1062
KTN1,1063
LAMA1,1064
LAMA2,1065
LAMA3,1066
LAMA4,1067
LAMA5,1068
LAMB1,1069
LAMB2,1070
LAMB3,1071
LAMB4,1072
LAMC1,1073
LAMC2,1074
LAMC3,1075
LAMTOR3,1076
LARP4B,1077
LASP1,1078
LAT,1079
LBP,1080
LCP1,1081
LCP2,1082
LDHA,1083
LDHAL6A,1084
LDHAL6B,1085
LDHB,1086
LDHC,1087
LEFTY1,1088
LEFTY2,1089
LEP,1090
LEPR,1091
LHFP,1092
LIAS,1093
LIF,1094
LIFR,1095
LIG1,1096
LIG3,1097
LILRB3,1098
LIMA1,1099
LIPA,1100
LMNA,1101
LMO1,1102
LMO2,1103
LMO7,1104
LNPEP,1105
LPL,1106
LRIG3,1107
LRP1,1108
LRP10,1109
LRP11,1110
LRP12,1111
LRP1B,1112
LRP2,1113
LRP3,1114
LRP4,1115
LRP5,1116
LRP6,1117
LRP8,1118
LRPPRC,1119
LSM14A,1120
LTA,1121
LTA4H,1122
LTB4R,1123
LTBP1,1124
LTBR,1125
LY75,1126
LY86,1127
LY96,1128
LYN,1129
LYZ,1130
MACF1,1131
